,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Athletico–PR,28,18.0,39,2,0,257,216,27,318,153,150,,,0
Atlético Mineiro,26,18.0,30,3,1,211,253,34,278,154,127,,,0
Bahia,29,17.0,42,2,1,248,262,28,334,157,169,,,2
Botafogo–RJ,33,17.0,48,3,0,238,197,12,244,127,181,,,1
Chapecoense,31,17.0,40,2,1,216,167,21,315,127,145,,,1
Corinthians,29,18.0,46,4,0,257,292,30,316,153,167,,,1
Coritiba,28,18.0,31,7,0,195,213,24,218,139,165,,,1
Cruzeiro,29,18.0,41,3,2,259,273,25,360,145,169,,,0
Flamengo,26,17.0,42,6,1,214,205,16,264,124,163,,,0
Fluminense,29,18.0,44,1,0,249,203,25,285,117,160,,,0
Grêmio,35,18.0,43,4,2,246,229,32,324,164,169,,,0
Internacional,27,18.0,45,1,1,289,251,36,459,159,196,,,0
Mirassol,29,17.0,45,2,0,215,187,22,388,134,129,,,1
Palmeiras,28,18.0,39,2,1,256,227,41,298,131,177,,,1
RB Bragantino,30,18.0,55,2,2,282,212,38,368,162,154,,,0
Remo,33,18.0,36,3,1,210,208,29,335,178,176,,,1
Santos,37,18.0,58,4,2,230,230,32,285,172,201,,,1
São Paulo,33,18.0,42,1,0,268,231,21,380,135,180,,,0
Vasco da Gama,32,18.0,36,2,0,219,232,21,430,166,177,,,2
Vitória,35,17.0,44,1,0,232,248,21,250,151,150,,,1
