,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Nicolás Acevedo,uy URU,DFMF,Bahia,27-065,1999,15,15,1299,14.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,6140be7b
2,Luciano Acosta,ar ARG,MF,Fluminense,32-018,1994,14,13,901,10.0,3,4,7,3,0,0,4,0,0.30,0.40,0.70,0.30,0.70,Matches,363ba6d7
3,Adson,br BRA,MF,Vasco da Gama,25-255,2000,8,3,400,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eda38706
4,Braian Aguirre,ar ARG,DFMF,Internacional,25-325,2000,12,5,474,5.3,1,1,2,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,Matches,74b396d8
5,Yuri Alberto,br BRA,FW,Corinthians,25-092,2001,14,14,1211,13.5,1,2,3,1,0,0,2,0,0.07,0.15,0.22,0.07,0.22,Matches,65159211
6,José Aldo,br BRA,MF,Mirassol,27-328,1998,15,12,1081,12.0,0,1,1,0,0,0,7,0,0.00,0.08,0.08,0.00,0.08,Matches,2f90595a
7,Alerrandro,br BRA,FW,Internacional,26-157,2000,17,9,771,8.6,3,3,6,3,0,0,1,0,0.35,0.35,0.70,0.35,0.70,Matches,3415a44d
8,Alesson,br BRA,MFFW,Mirassol,27-122,1999,17,14,1134,12.6,0,4,4,0,0,0,2,0,0.00,0.32,0.32,0.00,0.32,Matches,611e984e
9,Caio Alexandre,br BRA,MF,Bahia,27-114,1999,11,7,502,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,08ac23b7
