,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves▼,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Chapecoense,3,17,17,1530,17.0,33,1.94,104,75,72.1,1,6,10,1,5.9,4,4,0,0,0.0
Coritiba,2,18,18,1620,18.0,24,1.33,90,68,75.6,7,5,6,5,27.8,2,2,0,0,0.0
Remo,2,18,18,1620,18.0,29,1.61,95,67,69.5,4,6,8,2,11.1,1,0,1,0,100.0
Botafogo–RJ,2,17,17,1530,17.0,33,1.94,98,66,67.3,6,4,7,1,5.9,1,1,0,0,0.0
Bahia,3,17,17,1530,17.0,24,1.41,87,65,74.7,7,5,5,4,23.5,2,2,0,0,0.0
Fluminense,1,18,18,1620,18.0,23,1.28,85,64,75.3,9,4,5,3,16.7,2,2,0,0,0.0
Atlético Mineiro,1,18,18,1620,18.0,23,1.28,79,57,72.2,7,3,8,4,22.2,1,1,0,0,0.0
Grêmio,3,18,18,1616,18.0,23,1.28,73,54,71.2,5,6,7,5,27.8,4,2,2,0,50.0
Palmeiras,2,18,18,1620,18.0,13,0.72,67,54,80.6,12,5,1,7,38.9,1,0,0,1,
Vasco da Gama,1,18,18,1620,18.0,29,1.61,82,54,65.9,5,5,8,1,5.6,2,1,0,1,0.0
Corinthians,2,18,18,1620,18.0,19,1.06,70,52,75.7,6,6,6,7,38.9,4,2,1,1,33.3
Mirassol,1,17,17,1530,17.0,24,1.41,70,51,72.9,4,4,9,1,5.9,5,5,0,0,0.0
Santos,2,18,18,1620,18.0,29,1.61,76,51,67.1,5,6,7,4,22.2,4,4,0,0,0.0
Flamengo,1,17,17,1530,17.0,16,0.94,64,49,75.0,10,4,3,7,41.2,1,0,1,0,100.0
São Paulo,1,18,18,1620,18.0,20,1.11,67,48,71.6,7,4,7,4,22.2,1,1,0,0,0.0
RB Bragantino,2,18,18,1620,18.0,19,1.06,64,46,71.9,9,2,7,6,33.3,1,1,0,0,0.0
Vitória,2,17,17,1530,17.0,25,1.47,66,45,65.2,6,4,7,6,35.3,4,2,2,0,50.0
Internacional,2,18,18,1620,18.0,22,1.22,63,44,69.8,5,6,7,4,22.2,3,3,0,0,0.0
Athletico–PR,1,18,18,1620,18.0,18,1.00,59,41,69.5,9,3,6,5,27.8,0,0,0,0,
Cruzeiro,3,18,18,1620,18.0,28,1.56,62,38,61.3,6,6,6,4,22.2,4,4,0,0,0.0
