,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Anderson,br BRA,GK,Chapecoense,28-105,1998,6,6,540,6.0,11,1.83,32,23,71.9,0,1,5,0,0.0,2,2,0,0,0.0,Matches,29d862d4
2,Anthoni,br BRA,GK,Internacional,24-146,2002,7,7,630,7.0,11,1.57,32,22,68.8,2,2,3,1,14.3,1,1,0,0,0.0,Matches,a0b17b31
3,Lucas Arcanjo,br BRA,GK,Vitória,27-314,1998,13,13,1170,13.0,15,1.15,52,41,75.0,5,4,4,5,38.5,4,2,2,0,50.0,Matches,21803aa2
4,Thiago Beltrame,br BRA,GK,Grêmio,22-351,2003,1,1,74,0.8,3,3.65,8,5,62.5,0,0,1,0,0.0,0,0,0,0,,Matches,e5819c51
5,Gabriel Brazão,br BRA,GK,Santos,25-256,2000,16,16,1440,16.0,27,1.69,68,45,66.2,4,5,7,3,18.8,4,4,0,0,0.0,Matches,18c697e8
6,Cássio,br BRA,GK,Cruzeiro,39-012,1987,5,5,421,4.7,10,2.14,24,14,58.3,0,2,3,0,0.0,0,0,0,0,,Matches,d42f6326
7,Matheus Cunha,br BRA,GK,Cruzeiro,25-025,2001,9,8,749,8.3,11,1.32,22,13,59.1,4,2,2,4,50.0,2,2,0,0,0.0,Matches,9475960a
8,Diogenes,br BRA,GK,Santos,25-163,2001,2,2,180,2.0,2,1.00,8,6,75.0,1,1,0,1,50.0,0,0,0,0,,Matches,858e2e40
9,Éverson,br BRA,GK,Atlético Mineiro,35-331,1990,18,18,1620,18.0,23,1.28,79,57,72.2,7,3,8,4,22.2,1,1,0,0,0.0,Matches,a59c090b
