,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Gabriel Abdias,br BRA,DF,Botafogo–RJ,19-364,2006,0,,,,,0,,0,0,,2,,,,,,,Matches,ca540bc9
2,Nicolás Acevedo,uy URU,DFMF,Bahia,27-065,1999,15,1299,87,84.9,14.4,15,87,12,0,,0,1.53,21,18,+3,+0.21,+0.60,Matches,6140be7b
3,Luciano Acosta,ar ARG,MF,Fluminense,32-018,1994,14,901,64,55.6,10.0,13,67,2,1,24,0,1.71,19,12,+7,+0.70,+0.95,Matches,363ba6d7
4,Adson,br BRA,MF,Vasco da Gama,25-255,2000,8,400,50,24.7,4.4,3,82,1,5,31,8,1.63,9,4,+5,+1.13,+2.01,Matches,eda38706
5,Braian Aguirre,ar ARG,DFMF,Internacional,25-325,2000,12,474,40,29.3,5.3,5,66,2,7,20,6,1.00,4,7,-3,-0.57,-0.73,Matches,74b396d8
6,Yuri Alberto,br BRA,FW,Corinthians,25-092,2001,14,1211,87,74.8,13.5,14,87,9,0,,0,1.36,13,13,0,0.00,+0.22,Matches,65159211
7,José Aldo,br BRA,MF,Mirassol,27-328,1998,15,1081,72,70.7,12.0,12,84,8,3,26,0,0.87,12,14,-2,-0.17,+0.64,Matches,2f90595a
8,João Alencar,br BRA,DF,Santos,18-358,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,0fd7d99f
9,Alerrandro,br BRA,FW,Internacional,26-157,2000,17,771,45,47.6,8.6,9,72,1,8,15,0,1.24,12,9,+3,+0.35,+0.77,Matches,3415a44d
10,Alesson,br BRA,MFFW,Mirassol,27-122,1999,17,1134,67,74.1,12.6,14,77,5,3,21,0,0.94,14,18,-4,-0.32,+0.14,Matches,611e984e
11,Caio Alexandre,br BRA,MF,Bahia,27-114,1999,11,502,46,32.8,5.6,7,59,0,4,22,2,1.82,7,9,-2,-0.36,-0.71,Matches,08ac23b7
12,Matheus Alexandre,br BRA,DF,Remo,27-072,1999,7,153,22,9.4,1.7,1,54,0,6,17,3,1.57,5,5,0,0.00,+0.49,Matches,0212e748
13,Alexsander,br BRA,MF,Atlético Mineiro,22-253,2003,4,90,23,5.6,1.0,0,,0,4,23,7,1.25,0,2,-2,-2.00,-2.06,Matches,b13e7a78
14,Alisson,br BRA,MF,Fluminense,32-358,1993,8,256,32,15.8,2.8,3,67,0,5,11,3,2.13,5,8,-3,-1.05,-1.58,Matches,99139fa4
15,Allan,br BRA,MF,Palmeiras,22-060,2004,17,1213,71,74.9,13.5,15,76,2,2,34,0,2.35,22,10,+12,+0.89,-0.22,Matches,aae04867
16,Allan,br BRA,MF,Corinthians,29-107,1997,13,550,42,34.0,6.1,5,76,3,8,21,1,1.46,5,6,-1,-0.16,-0.16,Matches,b15e93aa
17,Allan,br BRA,MF,Botafogo–RJ,35-161,1991,10,463,46,30.3,5.1,6,65,1,4,19,1,1.60,10,11,-1,-0.19,-0.28,Matches,cc700722
18,Allex,br BRA,MFDF,Internacional,20-045,2006,8,315,39,19.4,3.5,4,65,1,4,14,10,1.13,3,7,-4,-1.14,-1.35,Matches,8a8200ca
19,João Almeida,br BRA,DF,Coritiba,20-153,2006,0,,,,,0,,0,0,,5,,,,,,,Matches,5114171f
20,Kayky Almeida,br BRA,DF,Remo,21-048,2005,7,486,69,30.0,5.4,5,84,4,2,34,3,0.86,8,12,-4,-0.74,-0.42,Matches,4a8d8800
21,Júnior Alonso,py PAR,DF,Atlético Mineiro,33-129,1993,10,900,90,55.6,10.0,10,90,10,0,,5,1.20,13,13,0,0.00,+0.12,Matches,b18a3023
22,Bruno Alves,br BRA,DF,Cruzeiro,20-318,2005,0,,,,,0,,0,0,,4,,,,,,,Matches,637c7c17
23,Dyogo Alves,br BRA,GK,Flamengo,22-160,2004,0,,,,,0,,0,0,,12,,,,,,,Matches,be620844
24,David Alves França,br BRA,MF,Coritiba,18-134,2008,1,1,1,0.1,0.0,0,,0,1,1,7,3.00,0,0,0,0.00,0.00,Matches,57cdf20a
25,Yuri Alves,br BRA,MF,RB Bragantino,19-285,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,7535447f
26,Francis Amuzu,be BEL,MFFW,Grêmio,26-299,1999,16,1040,65,64.2,11.6,12,74,4,4,38,0,1.19,16,17,-1,-0.09,+0.22,Matches,4f0fbd15
27,João Ananias,br BRA,DF,Santos,19-126,2007,3,156,52,9.6,1.7,1,90,1,2,33,6,1.33,2,3,-1,-0.58,-0.45,Matches,91c13988
28,Anderson,br BRA,GK,Chapecoense,28-105,1998,6,540,90,35.3,6.0,6,90,6,0,,4,0.17,6,11,-5,-0.83,+0.17,Matches,29d862d4
29,Anderson,br BRA,FW,Vitória,23-263,2002,4,73,18,4.8,0.8,0,,0,4,18,3,1.75,2,1,+1,+1.23,+1.54,Matches,a03b3912
30,Felipe Anderson,br BRA,MFFW,Palmeiras,33-064,1993,13,372,29,23.0,4.1,3,62,0,10,19,2,2.46,6,2,+4,+0.97,+0.03,Matches,9f1893b9
31,Léo Andrade,br BRA,DF,Remo,28-061,1998,4,295,74,18.2,3.3,3,90,3,1,25,14,0.75,5,7,-2,-0.61,-0.20,Matches,070eb3e3
32,André,br BRA,MF,Corinthians,19-363,2006,14,831,59,51.3,9.2,10,70,3,4,33,0,1.21,8,10,-2,-0.22,-0.33,Matches,867660e8
33,Andrew,br BRA,GK,Flamengo,24-352,2001,0,,,,,0,,0,0,,17,,,,,,,Matches,40406a00
34,Andrey,br BRA,MF,Vasco da Gama,18-133,2008,1,23,23,1.4,0.3,0,,0,1,23,0,0.00,0,0,0,0.00,+0.39,Matches,0bedf7a0
35,Fabrizio Angileri,ar ARG,DF,Corinthians,32-095,1994,6,329,55,20.3,3.7,3,90,3,3,20,8,0.83,2,3,-1,-0.27,-0.27,Matches,fdd26d71
36,Anthoni,br BRA,GK,Internacional,24-146,2002,7,630,90,38.9,7.0,7,90,7,0,,11,1.14,11,11,0,0.00,+0.09,Matches,a0b17b31
37,Anthony,br BRA,DF,Botafogo–RJ,20-341,2005,0,,,,,0,,0,0,,1,,,,,,,Matches,87f5669c
38,Marcos Antônio,br BRA,MF,São Paulo,26-005,2000,12,887,74,54.8,9.9,9,87,7,3,34,0,1.67,14,9,+5,+0.51,+0.75,Matches,108fe016
39,Rodrigo Antonio Rodrigues,br BRA,FWMF,Mirassol,26-058,2000,0,,,,,0,,0,0,,2,,,,,,,Matches,bb18661c
40,David Antunes,br BRA,MF,Chapecoense,20-305,2005,4,55,14,3.6,0.6,1,28,0,3,9,9,0.75,2,4,-2,-3.27,-2.42,Matches,f26429fb
41,Guilherme Arana,br BRA,DF,Fluminense,29-065,1997,13,804,62,49.6,8.9,9,85,8,4,10,5,1.62,14,11,+3,+0.34,+0.12,Matches,2b15a82a
42,Aranha,br BRA,GK,Palmeiras,21-131,2005,0,,,,,0,,0,0,,4,,,,,,,Matches,316795a6
43,Willian Arão,br BRA,MF,Santos,33-197,1992,13,704,54,43.5,7.8,8,74,3,5,22,1,1.38,13,14,-1,-0.13,+0.07,Matches,f47a530a
44,Luiz Araújo,br BRA,MF,Flamengo,30-016,1996,11,364,33,23.8,4.0,4,72,1,7,11,2,2.55,12,2,+10,+2.47,+2.09,Matches,fa18c72e
45,Michel Araujo,uy URU,MF,Bahia,29-263,1996,12,243,20,15.9,2.7,1,45,0,11,18,3,1.25,3,6,-3,-1.11,-1.46,Matches,1159e4ae
46,Alexander Aravena,cl CHI,FWMF,Grêmio,23-285,2002,0,,,,,0,,0,0,,1,,,,,,,Matches,4535ab5d
47,Robert Arboleda,ec ECU,DF,São Paulo,34-239,1991,6,317,53,19.6,3.5,3,90,3,3,16,2,2.17,4,2,+2,+0.57,+0.50,Matches,269dbfc6
48,Lucas Arcanjo,br BRA,GK,Vitória,27-314,1998,13,1170,90,76.5,13.0,13,90,13,0,,1,1.46,16,15,+1,+0.08,+1.33,Matches,21803aa2
49,Benjamin Arhin,gh GHA,MF,Internacional,20-020,2006,1,1,1,0.1,0.0,0,,0,1,1,3,3.00,0,0,0,0.00,+0.06,Matches,47de2b05
50,Jhon Arias,co COL,MF,Palmeiras,28-270,1997,13,1008,78,62.2,11.2,12,81,4,1,32,0,2.31,15,8,+7,+0.62,-0.85,Matches,86d96066
51,Giorgian de Arrascaeta,uy URU,MF,Flamengo,32-017,1994,10,740,74,48.4,8.2,9,78,1,1,35,1,2.30,16,6,+10,+1.22,+0.65,Matches,be8d02dd
52,Keny Arroyo,ec ECU,MF,Cruzeiro,20-124,2006,15,878,59,54.2,9.8,11,71,2,4,26,0,1.13,14,17,-3,-0.31,-0.19,Matches,a9c426f6
53,Arthur,br BRA,DF,Palmeiras,20-287,2005,13,801,62,49.4,8.9,9,82,4,4,15,2,2.15,13,4,+9,+1.01,+0.13,Matches,caf3e90b
54,Artur,br BRA,MF,São Paulo,28-123,1998,10,880,88,54.3,9.8,10,88,8,0,,0,0.90,13,14,-1,-0.10,-0.59,Matches,105132cd
55,Artur,br BRA,FW,Botafogo–RJ,28-123,1998,4,192,48,12.5,2.1,1,81,0,3,37,2,0.75,4,6,-2,-0.94,-1.07,Matches,105132cd
56,Giovanni Augusto,br BRA,MFFW,Chapecoense,36-286,1989,10,401,40,26.2,4.5,7,51,0,3,15,2,0.70,3,5,-2,-0.45,+0.67,Matches,2f94a698
57,Ryan Augusto,br BRA,DF,RB Bragantino,18-287,2007,5,234,47,14.4,2.6,2,90,2,3,18,2,1.20,1,2,-1,-0.38,-0.84,Matches,d08d6f66
58,Matheus Aurelio,br BRA,GK,Chapecoense,26-360,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,3d460576
59,Avellar,br BRA,DF,Vasco da Gama,20-102,2006,1,6,6,0.4,0.1,0,,0,1,6,5,1.00,0,1,-1,-15.00,-14.67,Matches,19536a8f
60,Bahia,br BRA,MF,Corinthians,20-167,2006,0,,,,,0,,0,0,,2,,,,,,,Matches,a4b1b158
61,Matheus Bahia,br BRA,DFMF,Internacional,26-311,1999,10,686,69,42.3,7.6,9,75,3,1,8,3,1.70,12,8,+4,+0.52,+1.01,Matches,33e3c4e5
62,Pablo Baianinho,br BRA,MF,Vitória,22-319,2003,0,,,,,0,,0,0,,6,,,,,,,Matches,9e37d211
63,Fabián Balbuena,py PAR,DF,Grêmio,34-299,1991,7,585,84,36.1,6.5,7,84,6,0,,5,1.14,9,9,0,0.00,+0.26,Matches,3626f7d9
64,Gabriel Baralhas,br BRA,MF,Vitória,27-251,1998,14,1189,85,77.7,13.2,14,85,10,0,,0,1.29,14,17,-3,-0.23,+0.04,Matches,b7838aad
65,Gabriel Barbosa,br BRA,FW,Santos,29-292,1996,12,814,68,50.2,9.0,9,82,4,3,24,1,1.08,14,14,0,0.00,+0.33,Matches,72d0e1b6
66,Lucas Barbosa,br BRA,MFFW,RB Bragantino,25-116,2001,16,1435,90,88.6,15.9,16,90,15,0,,0,1.63,22,17,+5,+0.31,-0.17,Matches,a28eac7e
67,Alexander Barboza,ar ARG,DF,Botafogo–RJ,31-094,1995,12,1034,86,67.6,11.5,12,86,11,0,,0,1.50,24,20,+4,+0.35,+1.07,Matches,b1805c80
68,Álvaro Barreal,ar ARG,MFDF,Santos,25-305,2000,15,935,62,57.7,10.4,10,77,2,5,33,1,1.13,17,15,+2,+0.19,+0.85,Matches,ffca53e1
