id_time,nome,sigla,estado,estadio_principal
1,Athletico-PR,Athletico-PR,PR,Arena da Baixada
2,Atlético-MG,Atlético-MG,MG,Arena MRV
3,Bahia,BAH,BA,Arena Fonte Nova
4,Botafogo,BOT,RJ,Estádio Nilton Santos
5,Chapecoense,CHA,SC,Arena Condá
6,Corinthians,COR,SP,Arena Corinthians
7,Coritiba,CORI,PR,Estádio Couto Pereira
8,Cruzeiro,CRU,MG,Mineirão
9,Flamengo,FLA,RJ,Maracanã
10,Fluminense,FLU,RJ,Maracanã
11,Grêmio,GRE,RS,Arena do Grêmio
12,Internacional,INT,RS,Beira-Rio
13,Mirassol,MIR,SP,Estádio José Maria de Campos Maia
14,Palmeiras,PAL,SP,Allianz Parque
15,Red Bull Bragantino,Bragantino,SP,Estádio Nabi Abi Chedid
16,Remo,REM,PA,Estádio Evandro Almeida
17,Santos,SAN,SP,Vila Belmiro
18,São Paulo,SPFC,SP,Estádio do Morumbi
19,Vasco da Gama,Vasco,RJ,São Januário
20,Vitória,VIT,BA,Estádio Barradão
